Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
BTN,Bhutan,Asia-Pacific,92,92,82,82,,64,70,74,116,98,142,146,157,135,30.73,32.65,30.73,28.42,,,,,,,,http://fr.rsf.org/bhoutan.html,http://en.rsf.org/bhutan.html,http://en.rsf.org/bhutan.html,0,0,,,
MMR,Myanmar,Asia-Pacific,145,145,151,151,,174,171,170,164,164,163,165,164,137,41.43,39.63,41.43,44.71,,,,,,,51.87,http://fr.rsf.org/birmanie.html,http://en.rsf.org/burma.html,http://en.rsf.org/burma.html,1,0,,,
BOL,Bolivia,Americas,94,94,109,109,,103,95,115,68,16,45,76,51,48,31.04,30.22,31.04,32.8,,,,,,,35.55,http://fr.rsf.org/bolivie.html,http://en.rsf.org/bolivia.html,http://es.rsf.org/bolivia.html,0,0,,,
BIH,Bosnia and Herzegovina,European Union & the Balkans,66,66,68,68,,47,39,36,34,19,33,21,37,43,26.86,26.66,26.86,26.86,,,,,,,30.91,http://fr.rsf.org/bosnie-herzegovine.html,http://en.rsf.org/bosnia-herzegovina.html,http://es.rsf.org/bosnia-herzegovina.html,0,0,,,
BWA,Botswana,Africa,41,41,40,40,,62,62,66,75,53,60,50,62,,22.91,22.91,22.91,22.91,,,,,,,6.93,http://fr.rsf.org/botswana.html,http://en.rsf.org/botswana.html,http://es.rsf.org/botsuana.html,0,0,,,
BRA,Brazil,Americas,111,111,108,108,,58,71,82,84,75,63,66,71,54,34.03,25.77,34.03,32.75,,,,,,,56.56,http://fr.rsf.org/bresil.html,http://en.rsf.org/brazil.html,http://es.rsf.org/brasil.html,2,0,,,
BRN,Brunei Darussalam,Asia-Pacific,117,117,122,122,,142,155,,,,,,,111,35.45,36.76,35.45,35.45,,,,,,,,http://fr.rsf.org/brunei.html,http://en.rsf.org/brunei.html,http://en.rsf.org/brunei.html,0,0,,,
BGR,Bulgaria,European Union & the Balkans,100,100,87,87,,70,68,59,51,35,48,36,34,38,31.42,32.91,31.42,28.58,,,,,,,20.79,http://fr.rsf.org/bulgarie.html,http://en.rsf.org/bulgaria.html,http://es.rsf.org/bulgaria.html,0,0,,,
BFA,Burkina Faso,Africa,52,52,46,46,,49,57,63,68,70,78,64,76,85,24.45,23.79,24.45,23.7,,,,,,,17.92,http://fr.rsf.org/burkina-faso.html,http://en.rsf.org/burkina-faso.html,http://es.rsf.org/burkina-faso.html,0,0,,,
BDI,Burundi,Africa,142,142,132,132,,108,103,94,127,125,90,73,92,72,40.5,42.93,40.5,38.02,,,,,,,17.92,http://fr.rsf.org/burundi.html,http://en.rsf.org/burundi.html,http://es.rsf.org/burundi.html,0,0,,,
KHM,Cambodia,Asia-Pacific,144,144,143,143,,128,117,126,85,108,90,109,81,71,40.97,40.99,40.97,41.81,,,,,,,30.91,http://fr.rsf.org/cambodge.html,http://en.rsf.org/cambodia.html,http://en.rsf.org/cambodia.html,0,0,,,
