Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
LBR,Liberia,Africa,89,89,97,97,,84,62,51,85,84,83,123,132,109,30.65,30.78,30.65,29.89,,,,,,,20.79,http://fr.rsf.org/liberia.html,http://en.rsf.org/liberia.html,http://es.rsf.org/liberia.html,0,0,,,
LBY,Libya,Middle East & North Africa,137,137,131,131,,160,156,160,155,152,162,154,153,129,39.84,40.66,39.84,37.86,,,,,,,67.3,http://fr.rsf.org/libye.html,http://en.rsf.org/libya.html,http://es.rsf.org/libano.html,4,1,,,
LIE,Liechtenstein,European Union & the Balkans,6,6,7,7,,,,,,,,,,,7.02,17.67,7.02,7.35,,,,,,,,http://fr.rsf.org,http://en.rsf.org,http://es.rsf.org,0,0,,,
LTU,Lithuania,European Union & the Balkans,32,32,33,33,,11,10,16,23,27,21,16,16,,19.2,18.8,19.2,18.24,,,,,,,16.09,http://fr.rsf.org/lituanie.html,http://en.rsf.org/lithuania.html,http://en.rsf.org/lithuania.html,0,0,,,
LUX,Luxembourg,European Union & the Balkans,4,4,4,4,,14,20,2,,,,,,,6.7,13.61,6.7,6.68,,,,,,,,http://fr.rsf.org/luxembourg.html,http://en.rsf.org/luxembourg.html,http://en.rsf.org/luxembourg.html,0,0,,,
MKD,Macedonia,European Union & the Balkans,123,123,116,116,,68,34,42,36,45,43,49,51,,36.43,36.26,36.43,34.27,,,,,,,16.09,http://fr.rsf.org/macedoine.html,http://en.rsf.org/macedonia.html,http://en.rsf.org/macedonia.html,0,0,,,
MDG,Madagascar,Africa,81,81,88,88,,116,134,94,61,66,97,72,46,65,29.38,27.43,29.38,28.62,,,,,,,13.86,http://fr.rsf.org/madagascar.html,http://en.rsf.org/madagascar.html,http://es.rsf.org/madagascar.html,0,0,,,
MYS,Malaysia,Asia-Pacific,147,147,145,145,,141,131,132,124,92,113,122,104,110,42.73,43.29,42.73,42.73,,,,,,,21.97,http://fr.rsf.org/malaisie,http://en.rsf.org/malaisia,http://en.rsf.org/malaisia,0,0,,,
MWI,Malawi,Africa,73,73,75,75,,79,62,71,92,101,89,101,84,84,28.29,26.41,28.29,28.18,,,,,,,,http://fr.rsf.org/malawi.html,http://en.rsf.org/malawi.html,http://es.rsf.org/malaui.html,0,0,,,
MDV,Maldives,Asia-Pacific,108,108,103,103,,52,51,104,129,144,148,157,145,,33.11,34.32,33.11,31.1,,,,,,,28.9,http://fr.rsf.org/maldives,http://en.rsf.org/maldives,http://en.rsf.org/maldives,0,0,,,
MLI,Mali,Africa,122,122,99,99,,26,30,31,52,35,37,56,56,43,36.29,32.43,36.29,30.03,,,,,,,51.93,http://fr.rsf.org/mali.html,http://en.rsf.org/mali.html,http://es.rsf.org/mali.html,0,0,,,
MLT,Malta,European Union & the Balkans,51,51,45,45,,14,11,,,,,,,,23.84,24.16,23.84,23.3,,,,,,,,http://fr.rsf.org/malte.html,http://en.rsf.org/malta.html,http://en.rsf.org/malta.html,0,0,,,
MAR,Morocco,Middle East & North Africa,136,136,136,136,,135,127,122,106,97,119,126,131,89,39.72,39.19,39.72,39.04,,,,,,,20.79,http://fr.rsf.org/maroc.html,http://en.rsf.org/morocco.html,http://es.rsf.org/marruecos.html,0,0,,,
MUS,Mauritius,Africa,70,70,62,62,,65,51,47,25,32,34,46,41,36,27.69,27.69,27.69,26.47,,,,,,,,http://fr.rsf.org/maurice.html,http://en.rsf.org/mauritius.html,http://es.rsf.org/mauricio.html,0,0,,,
MRT,Mauritania,Africa,60,60,67,67,,95,100,105,50,77,127,138,121,115,26.53,25.27,26.53,26.76,,,,,,,19.46,http://fr.rsf.org/mauritanie.html,http://en.rsf.org/mauritania.html,http://es.rsf.org/mauritania.html,0,0,,,
MEX,Mexico,Americas,152,152,153,153,,136,137,140,136,132,135,96,74,75,45.04,38.82,45.04,45.3,,,,,,,63.19,http://fr.rsf.org/mexique.html,http://en.rsf.org/mexico.html,http://es.rsf.org/mexico.html,3,0,,,
MDA,Republic of Moldova,Eastern Europe & Central Asia,56,56,55,55,,75,114,98,81,85,74,78,94,,25.35,26.23,25.35,26.01,,,,,,,34.34,http://fr.rsf.org/moldavie.html,http://en.rsf.org/moldova.html,http://en.rsf.org/moldova.html,0,0,,,
MNG,Mongolia,Asia-Pacific,88,88,98,98,,76,91,93,74,86,53,73,77,72,30.3,25.25,30.3,29.93,,,,,,,,http://fr.rsf.org/mongolie,http://en.rsf.org/mongolia,http://en.rsf.org/mongolia,0,0,,,
MNE,Montenegro,European Union & the Balkans,114,114,113,113,,104,77,53,58,,,,,,34.78,34.63,34.78,32.97,,,,,,,13.86,http://fr.rsf.org/montenegro.html,http://en.rsf.org/montenegro.html,http://en.rsf.org/montenegro.html,0,0,,,
MOZ,Mozambique,Africa,79,79,73,73,,98,82,90,73,45,49,64,63,70,29.26,29.98,29.26,28.01,,,,,,,19.46,http://fr.rsf.org/mozambique.html,http://en.rsf.org/mozambique.html,http://es.rsf.org/mozambique.html,0,0,,,
NAM,Namibia,Africa,22,22,19,19,,21,35,23,25,26,25,42,56,31,12.5,12.5,12.5,12.5,,,,,,,,http://fr.rsf.org/namibie.html,http://en.rsf.org/namibia.html,http://es.rsf.org/namibia.html,0,0,,,
NPL,Nepal,Asia-Pacific,120,120,118,118,,119,118,138,137,159,160,160,150,127,36.16,30.27,36.16,34.61,,,,,,,42.48,http://fr.rsf.org/nepal,http://en.rsf.org/nepal,http://en.rsf.org/nepal,0,0,,,
NIC,Nicaragua,Americas,71,71,78,78,,83,76,59,47,69,68,52,34,,27.7,27.7,27.7,28.31,,,,,,,28.9,http://fr.rsf.org/nicaragua.html,http://en.rsf.org/nicaragua.html,http://es.rsf.org/nicaragua.html,0,0,,,
NER,Niger,Africa,48,48,43,43,,104,139,130,87,95,57,71,68,53,23.59,23.6,23.59,23.08,,,,,,,24.85,http://fr.rsf.org/niger.html,http://en.rsf.org/niger.html,http://es.rsf.org/niger.html,0,0,,,
NGA,Nigeria,Africa,112,112,115,115,,145,135,131,131,120,123,117,103,49,34.24,31.36,34.24,34.11,,,,,,,45,http://fr.rsf.org/nigeria.html,http://en.rsf.org/nigeria.html,http://es.rsf.org/nigeria.html,0,0,,,
NOR,Norway,European Union & the Balkans,3,3,3,3,,1,1,2,1,6,1,1,1,1,6.52,7.75,6.52,6.52,,,,,,,,http://fr.rsf.org/norvege.html,http://en.rsf.org/norway.html,http://en.rsf.org/norway.html,0,0,,,
NZL,New Zealand,Asia-Pacific,9,9,8,8,,8,13,7,15,19,12,9,16,,8.55,8.55,8.55,8.38,,,,,,,16.09,http://fr.rsf.org/,http://en.rsf.org/,http://es.rsf.org/,0,0,,,
ATG,OECS,Americas,36,36,34,34,,57,,,,,,,,,20.81,21.02,20.81,19.72,,,,,,,17.92,http://fr.rsf.org,http://en.rsf.org,http://es.rsf.org,0,0,,,
OMN,Oman,Middle East & North Africa,134,134,141,141,,124,106,123,,,,,152,,38.83,38.83,38.83,41.51,,,,,,,16.09,http://fr.rsf.org/oman.html,http://en.rsf.org/oman.html,http://es.rsf.org/oman.html,0,0,,,
UGA,Uganda,Africa,110,110,104,104,,96,86,107,96,116,80,86,91,52,33.29,30.16,33.29,31.69,,,,,,,37.61,http://fr.rsf.org/ouganda.html,http://en.rsf.org/uganda.html,http://es.rsf.org/uganda.html,0,0,,,
UZB,Uzbekistan,Eastern Europe & Central Asia,166,166,164,164,,163,160,162,160,158,155,142,154,120,61.01,59.77,61.01,60.39,,,,,,,66.64,http://fr.rsf.org/ouzbekistan.html,http://en.rsf.org/uzbekistan.html,http://en.rsf.org/uzbekistan.html,0,0,,,
PAK,Pakistan,Asia-Pacific,158,158,159,159,,151,159,152,152,157,150,150,128,119,51.46,46.85,51.46,51.31,,,,,,,64.91,http://fr.rsf.org/pakistan,http://en.rsf.org/pakistan,http://en.rsf.org/pakistan,2,0,,,
PSE,Palestine,Middle East & North Africa,138,138,146,146,,150,161,163,158,134,132,127,130,82,40.11,38.16,40.11,43.09,,,,,,,52.42,http://fr.rsf.org/territoires-palestiniens.html,http://en.rsf.org/palestinian-territories.html,http://es.rsf.org/territorios-palestinos.html,7,0,,,
PAN,Panama,Americas,87,87,111,111,,81,55,57,54,39,66,61,53,49,30.2,28.98,30.2,32.95,,,,,,,,http://fr.rsf.org/panama.html,http://en.rsf.org/panama.html,http://es.rsf.org/panama.html,0,0,,,
PNG,Papua New Guinea,Asia-Pacific,44,44,41,41,,42,56,,,,,,,,23.46,25.87,23.46,22.97,,,,,,,16.09,http://fr.rsf.org/papouasie-n-guinee.html,http://en.rsf.org/papua-new-guinea.html,http://en.rsf.org/papua-new-guinea.html,0,0,,,
PRY,Paraguay,Americas,105,105,91,91,,54,54,90,90,82,69,46,40,32,31.81,29.1,31.81,28.78,,,,,,,52.31,http://fr.rsf.org/paraguay.html,http://en.rsf.org/paraguay.html,http://es.rsf.org/paraguay.html,2,0,,,
NLD,Netherlands,European Union & the Balkans,2,2,2,2,,1,7,16,12,1,1,1,1,1,6.46,7.5,6.46,6.48,,,,,,,16.09,http://fr.rsf.org/pays-bas.html,http://en.rsf.org/netherlands.html,http://en.rsf.org/netherlands.html,0,0,,,
PER,Peru,Americas,104,104,105,105,,109,85,108,117,112,116,123,55,36,31.7,29.67,31.7,31.87,,,,,,,37.38,http://fr.rsf.org/perou.html,http://en.rsf.org/peru.html,http://es.rsf.org/peru.html,0,0,,,
PHL,Philippines,Asia-Pacific,149,149,147,147,,156,122,139,128,142,139,111,118,89,43.69,36.14,43.69,43.11,,,,,,,61.36,http://fr.rsf.org/philippines.html,http://en.rsf.org/philippines.html,http://en.rsf.org/philippines.html,3,0,,,
POL,Poland,European Union & the Balkans,19,19,22,22,,32,37,47,56,58,53,32,33,29,11.03,11.03,11.03,13.11,,,,,,,19.46,http://fr.rsf.org/pologne.html,http://en.rsf.org/poland.html,http://en.rsf.org/poland.html,0,0,,,
PRT,Portugal,European Union & the Balkans,30,30,28,28,,40,30,16,8,10,23,25,28,7,17.73,17.11,17.73,16.75,,,,,,,,http://fr.rsf.org/portugal.html,http://en.rsf.org/portugal.html,http://es.rsf.org/portugal.html,0,0,,,
QAT,Qatar,Middle East & North Africa,113,113,110,110,,121,94,74,79,80,90,104,115,,34.32,35.35,34.32,32.86,,,,,,,10.99,http://fr.rsf.org/qatar.html,http://en.rsf.org/qatar.html,http://es.rsf.org/catar.html,0,0,,,
COD,The Democratic Republic Of The Congo,Africa,151,151,142,142,,148,145,148,133,142,146,141,127,113,44.64,42.25,44.64,41.66,,,,,,,52.52,http://fr.rsf.org/republique-democratique-du-congo.html,http://en.rsf.org/democratic-republic-of-congo.html,http://es.rsf.org/republica-democratica-del-congo.html,2,0,,,
CAF,Central African,Africa,109,109,65,65,,69,80,85,71,62,82,104,107,63,33.13,29.07,33.13,26.61,,,,,,,52.93,http://fr.rsf.org/republique-centrafricaine.html,http://en.rsf.org/central-african-republic.html,http://es.rsf.org/republica-centro-africana.html,2,0,,,
DOM,Dominican Republic,Americas,68,68,80,80,,97,98,82,72,52,51,31,72,,27.17,27.05,27.17,28.34,,,,,,,28.33,http://fr.rsf.org/r-dominicaine.html,http://en.rsf.org/dominican-republic.html,http://es.rsf.org/republica-dominicana.html,0,0,,,
CZE,Czech Republic,European Union & the Balkans,13,13,16,16,,23,24,16,14,5,9,19,12,41,10.07,11.62,10.07,10.17,,,,,,,,http://fr.rsf.org/republique-tcheque.html,http://en.rsf.org/czech-republic.html,http://en.rsf.org/czech-republic.html,0,0,,,
ROU,Romania,European Union & the Balkans,45,45,42,42,,52,50,47,42,58,70,70,59,45,23.48,24.9,23.48,23.05,,,,,,,20.79,http://fr.rsf.org/roumanie.html,http://en.rsf.org/romania.html,http://en.rsf.org/romania.html,0,0,,,
GBR,United Kingdom,European Union & the Balkans,33,33,29,29,,19,20,23,24,27,24,28,27,21,19.93,20,19.93,16.89,,,,,,,,http://fr.rsf.org/royaume-uni.html,http://en.rsf.org/united-kingdom.html,http://en.rsf.org/united-kingdom.html,0,0,,,
RUS,Russian Federation,Eastern Europe & Central Asia,148,148,148,148,,140,153,141,144,147,138,140,148,121,42.78,41.11,42.78,43.42,,,,,,,60.38,http://fr.rsf.org/russie.html,http://en.rsf.org/russia.html,http://en.rsf.org/russia.html,1,0,,,
RWA,Rwanda,Africa,162,162,161,161,,169,157,145,147,128,122,113,110,107,56.57,56.57,56.57,55.46,,,,,,,33.32,http://fr.rsf.org/rwanda.html,http://en.rsf.org/rwanda.html,http://es.rsf.org/ruanda.html,0,0,,,
WSM,Samoa,Asia-Pacific,40,40,48,48,,111,,,,,,,,,22.02,22.32,22.02,23.84,,,,,,,,http://fr.rsf.org/,http://en.rsf.org/,http://es.rsf.org/,0,0,,,
SEN,Senegal,Africa,62,62,59,59,,93,89,86,83,77,78,80,66,47,26.68,27.77,26.68,26.19,,,,,,,13.86,http://fr.rsf.org/senegal.html,http://en.rsf.org/senegal.html,http://es.rsf.org/senegal.html,0,0,,,
SRB,Serbia,European Union & the Balkans,54,54,63,63,,85,62,64,67,,,,,,25.05,25.62,25.05,26.59,,,,,,,35.84,http://fr.rsf.org/serbie.html,http://en.rsf.org/serbia.html,http://en.rsf.org/serbia.html,0,0,,,
SYC,Seychelles,Africa,103,103,93,93,,65,72,74,104,95,71,83,93,60,31.68,31.55,31.68,29.19,,,,,,,,http://fr.rsf.org/seychelles.html,http://en.rsf.org/seychelles.html,http://es.rsf.org/seychelles.html,0,0,,,
SLE,Sierra Leone,Africa,72,72,61,61,,91,115,114,121,103,126,88,87,72,28.23,28.23,28.23,26.35,,,,,,,29.44,http://fr.rsf.org/sierra-leone.html,http://en.rsf.org/sierra-leone.html,http://es.rsf.org/sierra-leona.html,0,0,,,
SGP,Singapore,Asia-Pacific,150,150,149,149,,136,133,144,141,146,140,147,144,,44.29,45.87,44.29,43.43,,,,,,,,http://fr.rsf.org/singapour,http://en.rsf.org/singapore,http://en.rsf.org/singapour,0,0,,,
SVK,Slovakia,European Union & the Balkans,20,20,23,23,,35,44,7,3,8,8,1,12,,11.39,11.66,11.39,13.25,,,,,,,,http://fr.rsf.org/slovaquie.html,http://en.rsf.org/slovakia.html,http://en.rsf.org/slovakia.html,0,0,,,
SVN,Slovenia,European Union & the Balkans,34,34,35,35,,46,37,30,21,10,9,15,20,14,20.38,20.55,20.38,20.49,,,,,,,,http://fr.rsf.org/slovenie.html,http://en.rsf.org/slovenia.html,http://en.rsf.org/slovenia.html,0,0,,,
SOM,Somalia,Africa,176,176,175,175,,161,164,153,159,144,149,128,140,,73.19,72.31,73.19,73.59,,,,,,,53.71,http://fr.rsf.org/somalie.html,http://en.rsf.org/somalia.html,http://es.rsf.org/somalia.html,4,0,,,
SDN,Sudan,Africa,172,172,170,170,,172,148,135,140,139,133,132,142,105,71.88,72.34,71.88,70.06,,,,,,,52.68,http://fr.rsf.org/soudan.html,http://en.rsf.org/sudan.html,http://es.rsf.org/sudan.html,0,0,,,
SSD,South Sudan,Africa,119,119,124,124,,,,,,,,,,,36.05,38.04,36.05,36.2,,,,,,,28.33,http://fr.rsf.org/soudan-du-sud.html,"http://en.rsf.org/south-sudan,292.html",http://es.rsf.org/sudan-del-sur.html,0,0,,,
LKA,Sri Lanka,Asia-Pacific,165,165,162,162,,158,162,165,156,141,115,109,89,51,59.13,60.28,59.13,56.59,,,,,,,40.6,http://fr.rsf.org/sri-lanka,http://en.rsf.org/sri-lanka,http://en.rsf.org/sri-lanka,0,0,,,
SWE,Sweden,European Union & the Balkans,10,10,10,10,,1,1,7,5,14,12,11,9,7,8.98,9.47,8.98,9.23,,,,,,,,http://fr.rsf.org/suede.html,http://en.rsf.org/sweden.html,http://en.rsf.org/sweden.html,0,0,,,
CHE,Switzerland,European Union & the Balkans,15,15,14,14,,1,7,12,11,8,1,1,12,15,10.47,13.85,10.47,9.94,,,,,,,,http://fr.rsf.org/suisse.html,http://en.rsf.org/switzerland.html,http://en.rsf.org/switzerland.html,0,0,,,
SUR,Suriname,Americas,31,31,31,31,,35,42,26,,,,,,,18.2,18.2,18.2,18.19,,,,,,,,http://fr.rsf.org/surinam.html,http://en.rsf.org/surinam.html,http://es.rsf.org/surinam.html,0,0,,,
SWZ,Swaziland,Africa,156,156,155,155,,155,144,147,138,127,118,101,124,89,46.76,47.28,46.76,46.76,,,,,,,26.39,http://fr.rsf.org/swaziland.html,http://en.rsf.org/swaziland.html,http://es.rsf.org/suazilandia.html,0,0,,,
SYR,Syrian Arab Republic,Middle East & North Africa,177,177,176,176,,173,165,159,154,153,145,155,155,126,77.04,74.84,77.04,78.53,,,,,,,87.11,http://fr.rsf.org/syrie.html,http://en.rsf.org/syria.html,http://es.rsf.org/siria.html,15,17,,,
TJK,Tajikistan,Eastern Europe & Central Asia,115,115,123,123,,115,113,106,115,117,113,95,113,86,34.86,35.89,34.86,35.71,,,,,,,37.38,http://fr.rsf.org/tadjikistan.html,http://en.rsf.org/tajikistan.html,http://en.rsf.org/tajikistan.html,0,0,,,
TWN,Taiwan,Asia-Pacific,50,50,47,47,,48,59,36,32,43,51,60,61,35,23.82,23.82,23.82,23.82,,,,,,,28.9,http://fr.rsf.org/taiwan,http://en.rsf.org/taiwan,http://en.rsf.org/taiwan,0,0,,,
TZA,United Republic Of Tanzania,Africa,69,69,70,70,,41,62,71,55,88,74,61,69,62,27.3,28.09,27.3,27.34,,,,,,,10.99,http://fr.rsf.org/tanzanie.html,http://en.rsf.org/tanzania.html,http://es.rsf.org/tanzania.html,0,0,,,
TCD,Chad,Africa,139,139,121,121,,112,132,133,113,124,109,106,88,87,40.22,40.17,40.22,34.87,,,,,,,6.93,http://fr.rsf.org/tchad.html,http://en.rsf.org/chad.html,http://es.rsf.org/chad.html,0,0,,,
THA,Thailand,Asia-Pacific,130,130,135,135,,153,130,124,135,122,107,59,82,65,37.94,36.52,37.94,38.6,,,,,,,54.25,http://fr.rsf.org/thailande,http://en.rsf.org/thailand,http://en.rsf.org/thailand,0,0,,,
TLS,Timor-Leste,Asia-Pacific,77,77,90,90,,93,72,65,94,83,58,57,30,,29.04,32.63,29.04,28.72,,,,,,,,http://fr.rsf.org/timor-oriental.html,http://en.rsf.org/east-timor.html,http://en.rsf.org/east-timor.html,0,0,,,
TGO,Togo,Africa,76,76,83,83,,60,62,53,49,66,95,75,95,97,29,28.5,29,28.45,,,,,,,17.92,http://fr.rsf.org/togo.html,http://en.rsf.org/togo.html,http://es.rsf.org/togo.html,0,0,,,
TON,Tonga,Asia-Pacific,63,63,66,66,,87,,82,119,53,63,119,,,26.7,23.37,26.7,26.7,,,,,,,,http://fr.rsf.org/,http://en.rsf.org/,http://es.rsf.org/,0,0,,,
TTO,Trinidad and Tobago,Americas,43,43,44,44,,,,,,,,,,,23.28,22.39,23.28,23.12,,,,,,,,http://fr.rsf.org/trinite-et-tobago.html,http://en.rsf.org/trinidad-and-tobago.html,http://es.rsf.org/trinidad-y-tobago.html,0,0,,,
TUN,Tunisia,Middle East & North Africa,133,133,138,138,,164,154,143,145,148,147,152,149,128,38.69,35.99,38.69,39.93,,,,,,,49.45,http://fr.rsf.org/tunisie.html,http://en.rsf.org/tunisia.html,http://es.rsf.org/tunez.html,0,0,,,
TKM,Turkmenistan,Eastern Europe & Central Asia,178,178,177,177,,176,173,171,167,167,165,164,158,136,80.81,80.83,80.81,79.14,,,,,,,10.99,http://fr.rsf.org/turkmenistan.html,http://en.rsf.org/turkmenistan.html,http://en.rsf.org/turkmenistan.html,0,0,,,
TUR,Turkey,Eastern Europe & Central Asia,154,154,154,154,,138,122,102,101,98,98,113,115,99,45.87,38.97,45.87,46.56,,,,,,,64.89,http://fr.rsf.org/turquie.html,http://en.rsf.org/turkey.html,http://en.rsf.org/turkey.html,0,0,,,
UKR,Ukraine,Eastern Europe & Central Asia,127,127,126,126,,131,89,87,92,105,112,138,132,112,36.93,30.18,36.93,36.79,,,,,,,73.17,http://fr.rsf.org/ukraine.html,http://en.rsf.org/ukraine.html,http://en.rsf.org/ukraine.html,6,0,,,
URY,Uruguay,Americas,26,26,27,27,,37,29,43,37,57,46,42,25,21,16.08,15.94,16.08,15.92,,,,,,,,http://fr.rsf.org/uruguay.html,http://en.rsf.org/uruguay.html,http://es.rsf.org/uruguay.html,0,0,,,
VEN,Venezuela,Americas,116,116,117,117,,133,124,113,114,115,90,90,96,77,35.37,35.57,35.37,34.44,,,,,,,60.8,http://fr.rsf.org/venezuela.html,http://en.rsf.org/venezuela.html,http://es.rsf.org/venezuela.html,0,0,,,
VNM,Vietnam,Asia-Pacific,174,174,,,,165,166,168,162,155,158,161,159,131,72.36,72.06,72.36,71.78,,,,,,,74.89,http://fr.rsf.org/vietnam,http://en.rsf.org/vietnam,http://en.rsf.org/vietnam,0,0,,,
YEM,Yemen,Middle East & North Africa,167,167,169,169,,170,167,155,143,149,136,135,136,103,67.26,66.36,67.26,69.22,,,,,,,51.65,http://fr.rsf.org/yemen.html,http://en.rsf.org/yemen.html,http://es.rsf.org/yemen.html,1,0,,,
ZMB,Zambia,Africa,93,93,72,72,,82,97,74,68,93,90,100,86,81,30.89,34.35,30.89,27.93,,,,,,,17.92,http://fr.rsf.org/zambie.html,http://en.rsf.org/zambia.html,http://es.rsf.org/zambia.html,0,0,,,
ZWE,Zimbabwe,Africa,135,135,133,133,,123,136,151,149,140,153,155,141,122,39.19,39.19,39.19,38.12,,,,,,,31.78,http://fr.rsf.org/zimbabwe.html,http://en.rsf.org/zimbabwe.html,http://es.rsf.org/zimbabue.html,0,0,,,
